a834199,Thomas Maters,2016-11-22 11:31:45 +0100,Added ability to view(but not edit) the project when you are the creator of the project. Fixed project flow and tested it. Made projects close when double clicked on in sidebar.,,
89b91f1,Thomas Maters,2016-11-22 10:07:13 +0100,Added a messagebox when the project was done reviewing the project. Added comments to RiskProjectOverview. Changed updateProjectState procedure to only change the projectstate if there are risks in the project.,,
87a6cc0,Thomas Maters,2016-11-22 09:04:43 +0100,Added database changes for requirement 1.2 . Added procedure for increasing a projects draftVersion. EditRiskBaseform is now disabled when the project is not marked as 'DRAFT' . Changed sidebar design., so default buttons are not in the sidebarbuttonContainer. Added bool to buttons to make them togglebel or not. Added event for removing a button from the sidebar. When there are more then 4 projects open on the sidebar, the first opend project will be closed. Added comments to EditRiskBaseForm. Updated procedures to make a risk not reviewed when its made project specific and when there is a new version of a risk.
c547577,Thomas Maters,2016-11-21 09:35:45 +0100,Made a baseform fom generating reports. Let new reports inherit from new baseform.,,
72f8868,Thomas Maters,2016-11-17 16:17:20 +0100,Small fix in template. Changed sorting option text. Added more comments to the WordInterface. Fixed bug where risk that where being delete could be opend. Added comments to SearchRiskStandard. App manifest added to project. Added messagebox when a risk is updated to the new version and when a risk is made project specific.,,
0c9776d,Thomas Maters,2016-11-17 08:55:31 +0100,Changed some datagrid font sizes. Fixed bug where on an exception the wordInterface wouldn't get cleaned.,,
c2d9ad4,Thomas Maters,2016-11-16 16:12:39 +0100,Changed eventhandler for refreshing datasource on openRiskInProjectForm from onMouseEnter to VisabilityChanged. Small layout fix in riskAssessmentTemplate.,,
bc7b328,Thomas Maters,2016-11-16 15:36:05 +0100,Small changes in template. Added new procedure to get risks in project with remaining risks. Made it possible for to generate remaining risk reports.,,
a41bc3f,Thomas Maters,2016-11-16 13:58:32 +0100,Added templates for generating remaining risk reports. Added generation option to generateReportsForm. Added new event for generating RemainingRiskReports.,,
56a068a,Thomas Maters,2016-11-16 11:02:38 +0100,Moved constants from ARA_Globals to ARA_Constants. Removed class diagrams from project.,,
8.23E+11,Thomas Maters,2016-11-16 10:05:35 +0100,Made riskClassDescription private and added getter for it. Added sorting option to generateReportsForm. Changed event for generating riskAssesmentReports with an extra parameter for the sorting option. Added new constants class for variables that can not change at runtime(Non static variables).,,
3062318,Thomas Maters,2016-11-15 17:13:33 +0100,Changed some formatting. Added front page generation.  Fixed a bug where risk reduction measures weren't deleted from the riskdata. Added index page generation. Changed some font sizes in openrisksinproject en openproject form. Added new form for generating reports in project. Connected form with code. Fixed filepath bug. Made templates embedded documents. Fixed bug with new word document creation. Changed some parameters in the GenerateRiskReportArgs class.,,
cfaa95b,Thomas Maters,2016-11-15 09:30:31 +0100,Fixed table value typo. Made it possible to generate reports using word. Added new global for the riskClassDescription. Added background worker for generating report. Added form to see progress of generating. Made the backgroundworker cancable. Reformatted code.,,
3d320bd,Thomas Maters,2016-11-11 16:05:33 +0100,Test with generating word files. Added a new query for getting risks in project with riskdata.,,
8ee59aa,Thomas Maters,2016-11-10 08:55:22 +0100,Small tet changes.,,
18c78ce,Thomas Maters,2016-11-10 08:44:25 +0100,Fixed assembly version issues. Removed VisualStudio report functionality. Removed modeling projects.,,
442b722,Thomas Maters,2016-11-09 16:03:34 +0100,Moved database to company server.,,
83ceb32,Thomas Maters,2016-11-09 12:11:55 +0100,Trying to make reports using the visual studio report functionality.,,
6a2ad41,Thomas Maters,2016-11-07 16:24:03 +0100,Added icon to project.,,
ebd4eba,Thomas Maters,2016-11-07 10:49:06 +0100,Fixed a lot of bugs i found when testing.,,
a8f49a3,Thomas Maters,2016-11-02 13:54:08 +0100,Small bugfix when closing a newriskbaseform.,,
227381c,Thomas Maters,2016-11-02 13:43:34 +0100,Fixed a bug when creating a new risk and closing the application. Changed ListGroup control background color.,,
fa9fa6f,Thomas Maters,2016-11-01 15:57:42 +0100,Permissions added for individual functions in EditRiskForm.,,
7fc47f9,Thomas Maters,2016-11-01 15:40:43 +0100,Tried to add UML generation.,,
ee7e6b2,Thomas Maters,2016-11-01 15:08:38 +0100,UML,,
4d73971,Thomas Maters,2016-11-01 14:14:23 +0100,Added textColor parameter in listGroup. Changed some control styling. Added admin panel. Added button to main menu to acces admin panel. Added permissions for opening admin panel. BaseForm now loads the mainmenu on startup.,,
9133187,Thomas Maters,2016-11-01 11:46:51 +0100,All risks in open projects get updated when there is a new version of the risk created. Updated searchquery in addRiskToProject. Individual risk show now there hazard situation in addRiskToProject(Update procedure).  Fixed tooltips by risks in addRiskToProject. Removed tooltip instance calls when there is no image tooltip.,,
e171a02,Thomas Maters,2016-10-31 17:13:40 +0100,Added permissions to projectOverview. Updated acl.,,
ed6a276,Thomas Maters,2016-10-31 15:44:52 +0100,Added form for editing the risk standard. Added query for searching the risk standard. Made changes in editriskBaseform so the project cant get project specific is the project id is not valid. New procedure added for creating a new risk version. When editing standard, a new version of the risk is created. Added new procedure to get risks in a group and type. Added eventhandler when riskestimationitem changes instead of invalide event(Caused stack overflow error). Added parameter to change editrisk control indenticator rectangle color. Removed some debug. Changed when riskreduction control has been changed.,
f7c4d2a,Thomas Maters,2016-10-28 15:33:08 +0200,Fixed bug where an event for another project got triggerd on other projects.,,
84e4351,Thomas Maters,2016-10-28 14:44:30 +0200,Added some comments to EditRisksBaseForm. Added procedure to get risks in a project that are in a specific type and group. Bug gefixd in openriskinproject. Group en Type toegevoegd aan editriskbaseform. Made editriskinproject set topbar form. Search query improved for searching risks in project. Button hover color now visiable when hovering on selected button. Added trigger for resetting the topbar on sidebar button click.,,
6353fb6,Thomas Maters,2016-10-28 09:08:08 +0200,Added new procedures to database for makeing riskdata project specific. Added topbar form for risk info. Fixed bugs in opening risks and editrisks form. Removed database connection from exposedperson control. Added new event when an exposed person changes.,,
e45a7f5,Thomas Maters,2016-10-27 10:00:46 +0200,Bug fixes. Scaling fixes in forms.,,
9170145,Thomas Maters,2016-10-26 16:30:01 +0200,Removed singleton class, made it in to an Acces Control List class. Added permissions to ProjectOverview. Added en PermissionLevel enum.,
8ebb278,Thomas Maters,2016-10-26 10:54:35 +0200,Added form to search and open a project. Improved sidebar functionality. Changed event parameters to give a object reference to a class..,,
202819,Thomas Maters,2016-10-25 17:15:30 +0200,Added new form for opening a project.,,
d0b433d,Thomas Maters,2016-10-25 17:11:17 +0200,Added form for opening risks in a project. Fixed bug in adding risks to project. Added new procedure to get all the risks in a project.,,
6baa100,Thomas Maters,2016-10-25 15:32:26 +0200,Added control cleanup on controlDataSet. Added a now risk image. Added a new procedure.,,
006ee06,Thomas Maters,2016-10-25 12:02:20 +0200,Added new event for hazard indentification. Added new procedure for inserting danger into database. Fixed bug for button alpha not drawing correctly.,,
c58bf40,Thomas Maters,2016-10-25 09:59:26 +0200,Added 2 new procedures for inserting riskestimation in project. Cleaned up EditrRiskEstimation classes. Added custom event when RiskEstimation has changed. Connected riskEstimation classes to database.,,
df68ea1,Thomas Maters,2016-10-24 16:59:00 +0200,Connected exposed persons control and riskreductionmesures control to database.,,
83d711e,Thomas Maters,2016-10-24 13:22:33 +0200,Added procedure to database for fetching the exposed persons. Small bugfixes.,,
